time_str,time_seconds,wban_id,name,state,county,knots,gust_knots,lat,lon,near_any_wind_reports,near_hurricane_or_tropical_storm
2003-04-13 04:44:00 UTC,1050209040,94012,HAVRE CITY COUNTY AP,MT,HILL,29,52,48.5428,-109.7633,false,false
2003-04-15 21:37:00 UTC,1050442620,23042,LUBBOCK INTERNATIONAL AP,TX,LUBBOCK,38,50,33.6656,-101.8231,false,false
2003-04-15 21:51:00 UTC,1050443460,23042,LUBBOCK INTERNATIONAL AP,TX,LUBBOCK,39,51,33.6656,-101.8231,false,false
2003-04-15 22:05:00 UTC,1050444300,23042,LUBBOCK INTERNATIONAL AP,TX,LUBBOCK,43,52,33.6656,-101.8231,false,false
2003-04-15 22:09:00 UTC,1050444540,23042,LUBBOCK INTERNATIONAL AP,TX,LUBBOCK,44,52,33.6656,-101.8231,false,false
2003-04-15 23:48:00 UTC,1050450480,23042,LUBBOCK INTERNATIONAL AP,TX,LUBBOCK,45,52,33.6656,-101.8231,false,false
2003-04-15 23:49:00 UTC,1050450540,23042,LUBBOCK INTERNATIONAL AP,TX,LUBBOCK,46,50,33.6656,-101.8231,false,false
2003-04-15 23:53:00 UTC,1050450780,23042,LUBBOCK INTERNATIONAL AP,TX,LUBBOCK,41,52,33.6656,-101.8231,false,false
2003-04-15 23:54:00 UTC,1050450840,23042,LUBBOCK INTERNATIONAL AP,TX,LUBBOCK,46,58,33.6656,-101.8231,false,false
2003-04-15 23:55:00 UTC,1050450900,23042,LUBBOCK INTERNATIONAL AP,TX,LUBBOCK,46,55,33.6656,-101.8231,false,false
2003-04-15 23:56:00 UTC,1050450960,23042,LUBBOCK INTERNATIONAL AP,TX,LUBBOCK,46,54,33.6656,-101.8231,false,false
2003-04-15 23:57:00 UTC,1050451020,23042,LUBBOCK INTERNATIONAL AP,TX,LUBBOCK,46,53,33.6656,-101.8231,false,false
2003-04-15 23:58:00 UTC,1050451080,23042,LUBBOCK INTERNATIONAL AP,TX,LUBBOCK,46,54,33.6656,-101.8231,false,false
2003-04-15 23:59:00 UTC,1050451140,23042,LUBBOCK INTERNATIONAL AP,TX,LUBBOCK,48,54,33.6656,-101.8231,false,false
2003-04-19 04:05:00 UTC,1050725100,13996,TOPEKA MUNICIPAL AP,KS,SHAWNEE,25,52,39.0689,-95.6389,false,false
2003-04-21 00:38:00 UTC,1050885480,93821,LOUISVILLE STANDIFORD FIELD,KY,JEFFERSON,30,50,38.1772,-85.7297,false,false
2003-04-21 00:40:00 UTC,1050885600,93821,LOUISVILLE STANDIFORD FIELD,KY,JEFFERSON,41,50,38.1772,-85.7297,false,false
2003-04-21 00:41:00 UTC,1050885660,93821,LOUISVILLE STANDIFORD FIELD,KY,JEFFERSON,46,58,38.1772,-85.7297,false,false
2003-04-21 00:42:00 UTC,1050885720,93821,LOUISVILLE STANDIFORD FIELD,KY,JEFFERSON,42,51,38.1772,-85.7297,false,false
2003-05-01 01:56:00 UTC,1051754160,14923,MOLINE QUAD CITY INTL AP,IL,ROCK ISLAND,35,50,41.4653,-90.5233,false,false
2003-05-02 20:06:00 UTC,1051905960,03870,GREENVILLE SPARTANBURG AP,SC,SPARTANBURG,33,50,34.8847,-82.2239,false,false
2003-05-03 00:30:00 UTC,1051921800,13874,ATLANTA HARTSFIELD INTL AP,GA,FULTON,40,50,33.6301,-84.4418,false,false
2003-05-03 01:11:00 UTC,1051924260,13959,WACO REGIONAL AP,TX,MCLENNAN,28,50,31.6114,-97.2286,false,false
2003-05-06 23:36:00 UTC,1052264160,13995,SPRINGFIELD REGIONAL AP,MO,GREENE,40,55,37.2398,-93.3901,false,false
2003-05-08 07:58:00 UTC,1052380680,13748,WILMINGTON INTL AP,NC,NEW HANOVER,28,62,34.2675,-77.8997,false,false
2003-05-09 07:03:00 UTC,1052463780,13877,BRISTOL TRI CITY AP,TN,SULLIVAN,41,57,36.4797,-82.399,false,false
2003-05-10 04:05:00 UTC,1052539500,14842,PEORIA GREATER PEORIA AP,IL,PEORIA,37,56,40.6675,-89.6839,false,false
2003-05-10 04:06:00 UTC,1052539560,14842,PEORIA GREATER PEORIA AP,IL,PEORIA,39,50,40.6675,-89.6839,false,false
2003-05-25 21:25:00 UTC,1053897900,23009,ROSWELL INDUSTRIAL AIR PARK,NM,CHAVES,39,50,33.3072,-104.5086,false,false
2003-06-03 23:07:00 UTC,1054681620,23023,MIDLAND INTERNATIONAL AP,TX,MIDLAND,32,51,31.9431,-102.1906,false,false
2003-06-03 23:08:00 UTC,1054681680,23023,MIDLAND INTERNATIONAL AP,TX,MIDLAND,39,50,31.9431,-102.1906,false,false
2003-06-03 23:29:00 UTC,1054682940,23023,MIDLAND INTERNATIONAL AP,TX,MIDLAND,39,55,31.9431,-102.1906,false,false
2003-06-04 02:13:00 UTC,1054692780,23034,SAN ANGELO MATHIS FIELD,TX,TOM GREEN,50,69,31.3514,-100.4939,false,false
2003-06-04 02:14:00 UTC,1054692840,23034,SAN ANGELO MATHIS FIELD,TX,TOM GREEN,65,75,31.3514,-100.4939,false,false
2003-06-04 02:15:00 UTC,1054692900,23034,SAN ANGELO MATHIS FIELD,TX,TOM GREEN,64,68,31.3514,-100.4939,false,false
2003-06-04 02:16:00 UTC,1054692960,23034,SAN ANGELO MATHIS FIELD,TX,TOM GREEN,53,55,31.3514,-100.4939,false,false
2003-06-04 02:17:00 UTC,1054693020,23034,SAN ANGELO MATHIS FIELD,TX,TOM GREEN,46,50,31.3514,-100.4939,false,false
2003-06-04 02:19:00 UTC,1054693140,23034,SAN ANGELO MATHIS FIELD,TX,TOM GREEN,45,50,31.3514,-100.4939,false,false
2003-06-04 23:45:00 UTC,1054770300,23194,WINSLOW MUNICIPAL AP,AZ,NAVAJO,33,52,35.0281,-110.7208,false,false
2003-06-06 06:45:00 UTC,1054881900,23034,SAN ANGELO MATHIS FIELD,TX,TOM GREEN,43,54,31.3514,-100.4939,false,false
2003-06-06 06:46:00 UTC,1054881960,23034,SAN ANGELO MATHIS FIELD,TX,TOM GREEN,48,53,31.3514,-100.4939,false,false
2003-06-06 06:48:00 UTC,1054882080,23034,SAN ANGELO MATHIS FIELD,TX,TOM GREEN,47,53,31.3514,-100.4939,false,false
2003-06-08 23:33:00 UTC,1055115180,94823,PITTSBURGH INTL AP,PA,ALLEGHENY,39,52,40.5014,-80.2311,false,false
2003-06-10 01:54:00 UTC,1055210040,14943,SIOUX CITY GATEWAY AP,IA,WOODBURY,42,50,42.3914,-96.3792,false,false
2003-06-10 03:11:00 UTC,1055214660,23023,MIDLAND INTERNATIONAL AP,TX,MIDLAND,41,50,31.9431,-102.1906,false,false
2003-06-20 01:56:00 UTC,1056074160,94012,HAVRE CITY COUNTY AP,MT,HILL,41,50,48.5428,-109.7633,false,false
2003-06-22 02:41:00 UTC,1056249660,14916,GRAND FORKS INTL AP,ND,GRAND FORKS,37,50,47.9492,-97.1758,false,false
2003-06-23 07:02:00 UTC,1056351720,14939,LINCOLN MUNICIPAL AP,NE,LANCASTER,37,55,40.8311,-96.7644,false,false
2003-06-23 07:03:00 UTC,1056351780,14939,LINCOLN MUNICIPAL AP,NE,LANCASTER,45,58,40.8311,-96.7644,false,false
2003-06-25 04:27:00 UTC,1056515220,14922,MINNEAPOLIS ST PAUL INTL AP,MN,HENNEPIN,40,51,44.8831,-93.2289,false,false
2003-07-04 21:50:00 UTC,1057355400,24090,RAPID CITY REGIONAL AP,SD,PENNINGTON,43,51,44.0433,-103.0536,false,false
