time_str,time_seconds,wban_id,name,state,knots,gust_knots,near_any_wind_reports,near_hurricane_or_tropical_storm
2003-04-13 04:44:00 UTC,1050209040,94012,HAVRE CITY COUNTY AP,MT,29,52,false,false
2003-04-15 21:51:00 UTC,1050443460,23042,LUBBOCK INTERNATIONAL AP,TX,39,51,false,false
2003-04-15 22:05:00 UTC,1050444300,23042,LUBBOCK INTERNATIONAL AP,TX,43,52,false,false
2003-04-15 23:54:00 UTC,1050450840,23042,LUBBOCK INTERNATIONAL AP,TX,46,58,false,false
2003-04-19 04:05:00 UTC,1050725100,13996,TOPEKA MUNICIPAL AP,KS,25,52,false,false
2003-04-21 00:41:00 UTC,1050885660,93821,LOUISVILLE STANDIFORD FIELD,KY,46,58,false,false
2003-05-01 01:56:00 UTC,1051754160,14923,MOLINE QUAD CITY INTL AP,IL,35,50,false,false
2003-05-02 20:06:00 UTC,1051905960,03870,GREENVILLE SPARTANBURG AP,SC,33,50,false,false
2003-05-03 00:30:00 UTC,1051921800,13874,ATLANTA HARTSFIELD INTL AP,GA,40,50,false,false
2003-05-03 01:11:00 UTC,1051924260,13959,WACO REGIONAL AP,TX,28,50,false,false
2003-05-06 23:36:00 UTC,1052264160,13995,SPRINGFIELD REGIONAL AP,MO,40,55,false,false
2003-05-08 07:58:00 UTC,1052380680,13748,WILMINGTON INTL AP,NC,28,62,false,false
2003-05-09 07:03:00 UTC,1052463780,13877,BRISTOL TRI CITY AP,TN,41,57,false,false
2003-05-10 04:05:00 UTC,1052539500,14842,PEORIA GREATER PEORIA AP,IL,37,56,false,false
2003-05-25 21:25:00 UTC,1053897900,23009,ROSWELL INDUSTRIAL AIR PARK,NM,39,50,false,false
2003-06-03 23:29:00 UTC,1054682940,23023,MIDLAND INTERNATIONAL AP,TX,39,55,false,false
2003-06-04 02:14:00 UTC,1054692840,23034,SAN ANGELO MATHIS FIELD,TX,65,75,false,false
2003-06-04 23:45:00 UTC,1054770300,23194,WINSLOW MUNICIPAL AP,AZ,33,52,false,false
